1900:106,204,306,405,506,606,707,808,908,1008,1108,1207
1901:106,204,306,405,506,606,707,808,908,1008,1108,1207
1902:106,204,306,405,506,606,707,808,908,1008,1108,1207
1903:106,204,306,405,506,606,707,808,908,1008,1108,1207
1904:106,204,306,405,506,606,707,808,908,1008,1108,1207
1905:106,204,306,405,506,606,707,808,908,1008,1108,1207
1906:106,204,306,405,506,606,707,808,908,1008,1108,1207
1907:106,204,306,405,506,606,707,808,908,1008,1108,1207
1908:106,204,306,405,506,606,707,808,908,1008,1108,1207
1909:106,204,306,405,506,606,707,808,908,1008,1108,1207
1910:106,204,306,405,506,606,707,808,908,1008,1108,1207
1911:106,204,306,405,506,606,707,808,908,1008,1108,1207
1912:106,204,306,405,506,606,707,808,908,1008,1108,1207
1913:106,204,306,405,506,606,707,808,908,1008,1108,1207
1914:106,204,306,405,506,606,707,808,908,1008,1108,1207
1915:106,204,306,405,506,606,707,808,908,1008,1108,1207
1916:106,204,306,405,506,606,707,808,908,1008,1108,1207
1917:106,204,306,405,506,606,707,808,908,1008,1108,1207
1918:106,204,306,405,506,606,707,808,908,1008,1108,1207
1919:106,204,306,405,506,606,707,808,908,1008,1108,1207
1920:106,204,306,405,506,606,707,808,908,1008,1108,1207
1921:106,204,306,405,506,606,707,808,908,1008,1108,1207
1922:106,204,306,405,506,606,707,808,908,1008,1108,1207
1923:106,204,306,405,506,606,707,808,908,1008,1108,1207
1924:106,204,306,405,506,606,707,808,908,1008,1108,1207
1925:106,204,306,405,506,606,707,808,908,1008,1108,1207
1926:106,204,306,405,506,606,707,808,908,1008,1108,1207
1927:106,204,306,405,506,606,707,808,908,1008,1108,1207
1928:106,204,306,405,506,606,707,808,908,1008,1108,1207
1929:106,204,306,405,506,606,707,808,908,1008,1108,1207
1930:106,204,306,405,506,606,707,808,908,1008,1108,1207
1931:106,204,306,405,506,606,707,808,908,1008,1108,1207
1932:106,204,306,405,506,606,707,808,908,1008,1108,1207
1933:106,204,306,405,506,606,707,808,908,1008,1108,1207
1934:106,204,306,405,506,606,707,808,908,1008,1108,1207
1935:106,204,306,405,506,606,707,808,908,1008,1108,1207
1936:106,204,306,405,506,606,707,808,908,1008,1108,1207
1937:106,204,306,405,506,606,707,808,908,1008,1108,1207
1938:106,204,306,405,506,606,707,808,908,1008,1108,1207
1939:106,204,306,405,506,606,707,808,908,1008,1108,1207
1940:106,204,306,405,506,606,707,808,908,1008,1108,1207
1941:106,204,306,405,506,606,707,808,908,1008,1108,1207
1942:106,204,306,405,506,606,707,808,908,1008,1108,1207
1943:106,204,306,405,506,606,707,808,908,1008,1108,1207
1944:106,204,306,405,506,606,707,808,908,1008,1108,1207
1945:106,204,306,405,506,606,707,808,908,1008,1108,1207
1946:106,204,306,405,506,606,707,808,908,1008,1108,1207
1947:106,204,306,405,506,606,707,808,908,1008,1108,1207
1948:106,204,306,405,506,606,707,808,908,1008,1108,1207
1949:106,204,306,405,506,606,707,808,908,1008,1108,1207
1950:106,204,306,405,506,606,707,808,908,1008,1108,1207
1951:106,204,306,405,506,606,707,808,908,1008,1108,1207
1952:106,204,306,405,506,606,707,808,908,1008,1108,1207
1953:106,204,306,405,506,606,707,808,908,1008,1108,1207
1954:106,204,306,405,506,606,707,808,908,1008,1108,1207
1955:106,204,306,405,506,606,707,808,908,1008,1108,1207
1956:106,204,306,405,506,606,707,808,908,1008,1108,1207
1957:106,204,306,405,506,606,707,808,908,1008,1108,1207
1958:106,204,306,405,506,606,707,808,908,1008,1108,1207
1959:106,204,306,405,506,606,707,808,908,1008,1108,1207
1960:106,204,306,405,506,606,707,808,908,1008,1108,1207
1961:106,204,306,405,506,606,707,808,908,1008,1108,1207
1962:106,204,306,405,506,606,707,808,908,1008,1108,1207
1963:106,204,306,405,506,606,707,808,908,1008,1108,1207
1964:106,204,306,405,506,606,707,808,908,1008,1108,1207
1965:106,204,306,405,506,606,707,808,908,1008,1108,1207
1966:106,204,306,405,506,606,707,808,908,1008,1108,1207
1967:106,204,306,405,506,606,707,808,908,1008,1108,1207
1968:106,204,306,405,506,606,707,808,908,1008,1108,1207
1969:106,204,306,405,506,606,707,808,908,1008,1108,1207
1970:106,204,306,405,506,606,707,808,908,1008,1108,1207
1971:106,204,306,405,506,606,707,808,908,1008,1108,1207
1972:106,204,306,405,506,606,707,808,908,1008,1108,1207
1973:106,204,306,405,506,606,707,808,908,1008,1108,1207
1974:106,204,306,405,506,606,707,808,908,1008,1108,1207
1975:106,204,306,405,506,606,707,808,908,1008,1108,1207
1976:106,204,306,405,506,606,707,808,908,1008,1108,1207
1977:106,204,306,405,506,606,707,808,908,1008,1108,1207
1978:106,204,306,405,506,606,707,808,908,1008,1108,1207
1979:106,204,306,405,506,606,707,808,908,1008,1108,1207
1980:106,204,306,405,506,606,707,808,908,1008,1108,1207
1981:106,204,306,405,506,606,707,808,908,1008,1108,1207
1982:106,204,306,405,506,606,707,808,908,1008,1108,1207
1983:106,204,306,405,506,606,707,808,908,1008,1108,1207
1984:106,204,306,405,506,606,707,808,908,1008,1108,1207
1985:106,204,306,405,506,606,707,808,908,1008,1108,1207
1986:106,204,306,405,506,606,707,808,908,1008,1108,1207
1987:106,204,306,405,506,606,707,808,908,1008,1108,1207
1988:106,204,306,405,506,606,707,808,908,1008,1108,1207
1989:106,204,306,405,506,606,707,808,908,1008,1108,1207
1990:106,204,306,405,506,606,707,808,908,1008,1108,1207
1991:106,204,306,405,506,606,707,808,908,1008,1108,1207
1992:106,204,306,405,506,606,707,808,908,1008,1108,1207
1993:106,204,306,405,506,606,707,808,908,1008,1108,1207
1994:106,204,306,405,506,606,707,808,908,1008,1108,1207
1995:106,204,306,405,506,606,707,808,908,1008,1108,1207
1996:106,204,306,405,506,606,707,808,908,1008,1108,1207
1997:106,204,306,405,506,606,707,808,908,1008,1108,1207
1998:106,204,306,405,506,606,707,808,908,1008,1108,1207
1999:106,204,306,405,506,606,707,808,908,1008,1108,1207
2000:106,204,306,405,506,606,707,808,908,1008,1108,1207
2001:106,204,306,405,506,606,707,808,908,1008,1108,1207
2002:106,204,306,405,506,606,707,808,908,1008,1108,1207
2003:106,204,306,405,506,606,707,808,908,1008,1108,1207
2004:106,204,306,405,506,606,707,808,908,1008,1108,1207
2005:106,204,306,405,506,606,707,808,908,1008,1108,1207
2006:106,204,306,405,506,606,707,808,908,1008,1108,1207
2007:106,204,306,405,506,606,707,808,908,1008,1108,1207
2008:106,204,306,405,506,606,707,808,908,1008,1108,1207
